step,time_ms,plus_spcm_counts,empty_cavity_mean
0,0.0,12.0,31.213333129882812
1,0.020156,38.0,31.213333129882812
2,0.040312,41.0,31.213333129882812
3,0.060468,36.0,31.213333129882812
4,0.080624,12.0,31.213333129882812
5,0.10078000000000001,32.0,31.213333129882812
6,0.120936,25.0,31.213333129882812
7,0.141092,38.0,31.213333129882812
8,0.161248,4.0,31.213333129882812
9,0.181404,34.0,31.213333129882812
10,0.20156000000000002,36.0,31.213333129882812
11,0.221716,39.0,31.213333129882812
12,0.241872,10.0,31.213333129882812
13,0.262028,39.0,31.213333129882812
14,0.282184,32.0,31.213333129882812
15,0.30234,36.0,31.213333129882812
16,0.322496,10.0,31.213333129882812
17,0.342652,40.0,31.213333129882812
18,0.362808,37.0,31.213333129882812
19,0.382964,24.0,31.213333129882812
20,0.40312000000000003,8.0,31.213333129882812
21,0.423276,30.0,31.213333129882812
22,0.443432,38.0,31.213333129882812
23,0.463588,24.0,31.213333129882812
24,0.483744,6.0,31.213333129882812
25,0.5039,26.0,31.213333129882812
26,0.524056,33.0,31.213333129882812
27,0.544212,36.0,31.213333129882812
28,0.564368,6.0,31.213333129882812
29,0.584524,24.0,31.213333129882812
30,0.60468,37.0,31.213333129882812
31,0.6248360000000001,33.0,31.213333129882812
32,0.644992,9.0,31.213333129882812
33,0.665148,21.0,31.213333129882812
34,0.685304,36.0,31.213333129882812
35,0.70546,27.0,31.213333129882812
36,0.725616,8.0,31.213333129882812
37,0.745772,22.0,31.213333129882812
38,0.765928,45.0,31.213333129882812
39,0.786084,37.0,31.213333129882812
40,0.8062400000000001,17.0,31.213333129882812
41,0.826396,13.0,31.213333129882812
42,0.846552,30.0,31.213333129882812
43,0.866708,42.0,31.213333129882812
44,0.886864,14.0,31.213333129882812
45,0.90702,16.0,31.213333129882812
46,0.927176,36.0,31.213333129882812
47,0.9473320000000001,34.0,31.213333129882812
48,0.967488,11.0,31.213333129882812
49,0.987644,28.0,31.213333129882812
50,1.0078,30.0,31.213333129882812
51,1.027956,25.0,31.213333129882812
52,1.048112,15.0,31.213333129882812
53,1.068268,25.0,31.213333129882812
54,1.088424,30.0,31.213333129882812
55,1.1085800000000001,34.0,31.213333129882812
56,1.128736,7.0,31.213333129882812
57,1.148892,22.0,31.213333129882812
58,1.169048,28.0,31.213333129882812
59,1.189204,34.0,31.213333129882812
60,1.20936,18.0,31.213333129882812
61,1.229516,20.0,31.213333129882812
62,1.2496720000000001,26.0,31.213333129882812
63,1.269828,27.0,31.213333129882812
64,1.289984,14.0,31.213333129882812
65,1.31014,14.0,31.213333129882812
66,1.330296,31.0,31.213333129882812
67,1.350452,33.0,31.213333129882812
68,1.370608,16.0,31.213333129882812
69,1.3907640000000001,10.0,31.213333129882812
70,1.41092,20.0,31.213333129882812
71,1.431076,18.0,31.213333129882812
72,1.451232,7.0,31.213333129882812
73,1.471388,25.0,31.213333129882812
74,1.491544,25.0,31.213333129882812
75,1.5117,29.0,31.213333129882812
76,1.531856,0.0,31.213333129882812
77,1.552012,30.0,31.213333129882812
78,1.572168,23.0,31.213333129882812
79,1.592324,11.0,31.213333129882812
80,1.6124800000000001,15.0,31.213333129882812
81,1.632636,37.0,31.213333129882812
82,1.652792,36.0,31.213333129882812
83,1.672948,14.0,31.213333129882812
84,1.693104,12.0,31.213333129882812
85,1.71326,25.0,31.213333129882812
86,1.733416,33.0,31.213333129882812
87,1.7535720000000001,8.0,31.213333129882812
88,1.773728,15.0,31.213333129882812
89,1.793884,33.0,31.213333129882812
90,1.81404,32.0,31.213333129882812
91,1.834196,8.0,31.213333129882812
92,1.854352,15.0,31.213333129882812
93,1.874508,41.0,31.213333129882812
94,1.8946640000000001,28.0,31.213333129882812
95,1.91482,6.0,31.213333129882812
96,1.934976,17.0,31.213333129882812
97,1.955132,39.0,31.213333129882812
98,1.975288,26.0,31.213333129882812
99,1.995444,12.0,31.213333129882812
100,2.0156,23.0,31.213333129882812
101,2.035756,31.0,31.213333129882812
102,2.055912,14.0,31.213333129882812
103,2.0760680000000002,14.0,31.213333129882812
104,2.096224,27.0,31.213333129882812
105,2.11638,26.0,31.213333129882812
106,2.136536,6.0,31.213333129882812
107,2.156692,10.0,31.213333129882812
108,2.176848,28.0,31.213333129882812
109,2.197004,10.0,31.213333129882812
110,2.2171600000000002,10.0,31.213333129882812
111,2.237316,29.0,31.213333129882812
112,2.257472,43.0,31.213333129882812
113,2.277628,10.0,31.213333129882812
114,2.297784,13.0,31.213333129882812
115,2.31794,33.0,31.213333129882812
116,2.338096,19.0,31.213333129882812
117,2.3582520000000002,5.0,31.213333129882812
118,2.378408,12.0,31.213333129882812
119,2.398564,26.0,31.213333129882812
120,2.41872,21.0,31.213333129882812
121,2.438876,6.0,31.213333129882812
122,2.459032,15.0,31.213333129882812
123,2.479188,21.0,31.213333129882812
124,2.4993440000000002,6.0,31.213333129882812
125,2.5195,9.0,31.213333129882812
126,2.539656,22.0,31.213333129882812
127,2.559812,23.0,31.213333129882812
128,2.579968,4.0,31.213333129882812
129,2.600124,14.0,31.213333129882812
130,2.62028,28.0,31.213333129882812
131,2.6404360000000002,10.0,31.213333129882812
132,2.660592,8.0,31.213333129882812
133,2.680748,26.0,31.213333129882812
134,2.700904,32.0,31.213333129882812
135,2.72106,10.0,31.213333129882812
136,2.741216,11.0,31.213333129882812
137,2.761372,14.0,31.213333129882812
138,2.7815280000000002,23.0,31.213333129882812
139,2.801684,6.0,31.213333129882812
