photon_number,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,cooling_timescale,cooling_timescale_err
1.0,30.658,0.2023039396551634,49.849834188273014,1.200992065711881,0.00125,0.0005586674995021637,286.8199437661342,166.9833624005506,,
5.0,81.28975,0.49061754323951257,65.81643408757121,1.1756285108278925,0.49925,0.007905685256510028,74.30040107515063,1.7827141082818587,387.78670388814345,29.183322804891624
9.0,96.95425,0.35252629580553985,184.98168296345918,1.6074024565576386,0.81575,0.006129884531946748,48.412035425105366,0.9140379111500034,440.1178908530901,11.665246891463616
13.0,100.66025,0.28657081146616276,255.21895271341833,1.6004321783277102,0.898,0.004785289959866591,41.48934028188052,0.6649735014966058,416.68229099364635,8.323296122491847
17.0,102.2675,0.24571906913689054,291.05640803285326,1.5185788750202807,0.9305,0.004020875215671335,39.69187330854895,0.6667209533783213,374.13445194755974,6.09890687133341
21.0,103.04525,0.21492539545008402,308.28913150586874,1.5038898786146921,0.93925,0.0037768848771176484,38.00366209573246,0.5968553886547353,379.69091745877125,3.8132816725978684
25.0,103.049,0.22511224922247122,320.2341946358333,1.4861625909965368,0.9475,0.0035264624625820132,38.08401188578626,0.6828268173913005,382.00549509861185,4.534108978435701
29.0,103.323,0.2179719999220083,329.5790608254111,1.4984472840336305,0.95275,0.0033547517605629186,37.26349015961849,0.5612689678521308,350.52700253302817,4.204086249525042
33.0,104.05725,0.1837654567903745,337.9694847316229,1.4174612005333158,0.96525,0.0028957916663669,39.12928969504892,0.6374942331708799,325.9064666348312,3.6146791363399737
37.0,103.8095,0.19536549704976053,337.0536722820835,1.4668570004732497,0.96025,0.003089091189168748,38.9506039124526,0.6130771845976074,321.08659920455415,3.5275648451277974
41.0,103.96,0.1928548028958574,339.3730185560328,1.4303130143174752,0.963,0.0029845853983426255,39.130222261574374,0.5833386071163037,294.1850817987527,3.762191578366408
45.0,103.71875,0.2053415742351631,337.1543758900639,1.4835532013807005,0.9615,0.003042110698183088,41.586147536003814,0.7362019331148506,295.95572545012817,4.423379801733445
49.0,103.894,0.1945669961735546,335.98491776464937,1.502818707293766,0.9615,0.003042110698183088,41.10895880340669,0.6699210998536361,284.59278999443035,4.17530492412482
53.0,103.67,0.2077739757524989,328.9998089194833,1.5065782486982717,0.96175,0.00303261180750191,43.379665076276005,0.6977124057085063,300.48153929515826,4.385842620444234
57.0,104.098,0.18447790924660873,320.41133668730106,1.4879863815314314,0.9655,0.0028857299769728968,43.72336873116707,0.7582904851283806,288.9699253163945,3.7484332367283164
61.0,104.117,0.18515251213526646,311.08286895517654,1.4907354276071205,0.964,0.0029455050500720595,48.00274639963799,0.9242681640154342,274.9254438148278,4.5275843752946825
65.0,104.1065,0.1832298131786965,306.9901467049904,1.4712918237648156,0.965,0.0029058131392090594,47.954005249182195,0.788287929082025,259.9488256742893,4.3140705488061615
69.0,103.84825,0.1977123680612192,300.2074800963559,1.5007404386265686,0.96025,0.003089091189168748,50.707123749567906,0.854825566834129,251.54704269289675,5.131133566135576
73.0,104.08625,0.1854304525539832,297.9301718818088,1.4862477607121278,0.9625,0.0030039037101744783,51.713524112876755,0.9059354845391968,253.13459954340945,5.423497853558578
77.0,103.79975,0.1993518559842747,295.56403410667696,1.5273756122073217,0.96025,0.003089091189168748,53.08622215117589,1.0288646779884096,251.67386440862384,4.9798188314634455
81.0,104.055,0.1871316214593354,290.66839686669266,1.5159798760420642,0.9635,0.0029651201493362785,55.53051246476242,0.9856585715154155,243.68535877723377,5.110296534466932
