detuning,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,legacy_cooling_timescale,legacy_cooling_timescale_err
-105.0,69.92225,0.5787020401159607,197.35220382847388,3.824784646687533,0.41875,0.007800615961255881,139.496884180249,6.170099812449553,1999.9999999976942,458.2060377252356
-95.0,76.01475,0.5655338257870832,213.07433419848326,3.577967559038996,0.502,0.00790563090461476,124.96987678870865,5.256478768900221,1999.9999999999995,276.43217658426954
-85.0,80.255,0.5492678023969728,216.33757396361884,3.266081623588574,0.5765,0.007812613999168268,113.43625467499294,4.460172094055611,1214.6081238455483,98.34077806964102
-75.0,86.039,0.5121357190725913,239.2364025677784,3.0125063678659423,0.6735,0.007414474863400644,86.1705203214969,3.1813211459273156,931.4884706133897,45.99291175869998
-65.0,91.727,0.4555949327527689,256.279285478093,2.655505468685685,0.7685,0.0066691032005810206,77.34356700482202,2.5637067232320754,757.9425965833176,20.604092012058288
-55.0,94.44675,0.4199847212808759,262.68918748035486,2.3838582634210614,0.81225,0.006174543252338589,74.6812247589944,2.4114860266777396,680.966318202781,14.636036883784094
-45.0,96.12825,0.39883057240434194,259.67980252092104,2.051276823031477,0.8485,0.00566894500767118,70.70701812976982,1.860789419620554,585.1069447208588,11.372569534464146
-35.0,97.78975,0.36269134430583677,245.62527991376865,1.8879322367360427,0.86525,0.005398898903943285,71.24137587938864,1.7222525826960038,589.4793021152682,10.56095673332369
-25.0,98.2995,0.356009409900216,241.45846326631244,1.7855161310803684,0.87575,0.005215648030206793,83.56407551593007,1.6232036142391402,542.1308972570612,10.907720049113022
-15.0,99.46375,0.32940616491555685,273.02623489238334,2.0518938213218494,0.8905,0.00493735126358253,131.43130830287376,2.197058064972335,456.0295481112411,11.681196995988763
-5.0,99.109,0.3162096294390796,288.03648738681096,2.81941638433918,0.85125,0.005626354003704354,259.8010397008658,3.6012306662602986,255.65095496796187,30.927674977650856
5.0,101.75825,0.25981570725107245,317.4408343921503,2.553029486305869,0.9105,0.004513583664894227,232.598877240752,2.9607771004114216,285.2473245831964,20.908874159636603
15.0,101.95525,0.2684919679606357,294.7078438769036,1.8374660879993368,0.936,0.0038698837191833025,111.2041117033733,1.600287821464031,390.2727892393055,8.739973453906543
25.0,100.3325,0.3176227887565689,257.76648918640603,1.6385597372943836,0.9175,0.00435010775728602,71.92829964707963,1.1267624777235419,428.3765160308736,8.196009636828524
35.0,99.1225,0.33677347496128607,252.35148370438102,1.7704780892127086,0.89025,0.004942290397680007,57.31264424113306,1.1301739000501378,508.0805828940909,8.026429321864045
45.0,97.5685,0.3732413119384026,258.5159369392157,1.915324262226424,0.873,0.005264764952018276,56.52849277361816,1.2981182117336036,547.8654137387696,9.724808466580303
55.0,93.679,0.43238841306168235,240.4914138843348,2.1976619498624155,0.8015,0.006306697828499476,55.33049336360041,1.544908772463411,645.5675275265999,16.450910332312013
65.0,88.00825,0.4909478541396988,217.30885593638598,2.467901069488239,0.70725,0.0071945715212929804,63.91198864521026,2.3133313039045564,848.5933382794665,28.13751553151118
75.0,82.24825,0.5301200623296339,192.22429441692302,2.6886745917289563,0.6095,0.0077137823083102365,70.01602158365712,2.662251741048066,1200.9215647046317,79.57246907979693
85.0,75.64025,0.5595992606181454,167.61646479361767,2.8932066311767737,0.50575,0.007905171369110224,82.73475413877934,3.7291514378869977,1999.9999999999995,257.645795220185
95.0,69.628,0.5713520403394041,151.9019005084217,3.1250450438633033,0.42175,0.007808279860186877,96.15584959997419,4.6650951058761,1999.9999999999995,355.5668004553198
105.0,63.23875,0.5661340937528627,138.24157969302942,3.2360079645671553,0.328,0.007423206854183709,129.3685578620036,6.789453377333294,1999.9999999999995,587.4207983477129
