detuning,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,cooling_timescale,cooling_timescale_err
-105.0,44.5245,0.2742847059854049,-23.242633407074482,0.6231107013188221,0.0245,0.0024443685278615415,287.1202623611417,54.72526651311395,,
-95.0,51.222,0.3456380751595518,-22.089240815287802,0.73422595360544,0.06325,0.0038486828103911084,254.74033952283844,26.610418305044476,352.4051320301551,113.86610691592026
-85.0,61.16625,0.40829618873358964,-14.700520187759027,0.9958822195487724,0.14475,0.005563214841707985,191.21407695408456,12.326632905392326,388.035588612627,225.76901095001804
-75.0,72.71725,0.4404261579531522,1.5793598228994148,1.2627512691365386,0.299,0.007238767160228322,152.79360372834148,6.995307104472408,,
-65.0,85.56425,0.4147967490041056,33.22437011004574,1.5318091978406658,0.51425,0.007902482798146416,120.78907302563437,3.774824808084128,171.30551120896394,36.88192046220452
-55.0,93.78475,0.35693308807026425,76.13619513757027,1.7038296099926378,0.696,0.007272963632522852,90.1602105748193,2.256514719587033,585.1726049595965,64.66944715596469
-45.0,99.615,0.2792820147270497,140.2681951688028,1.831602324442908,0.83725,0.005836575140868144,68.37322626544187,1.5225359992008176,432.7039332689383,17.752213778618906
-35.0,101.9185,0.24715751948403272,225.9549913323148,1.7457015160456437,0.911,0.004502193909640054,51.627905925509545,1.0005289747528316,469.195645345048,7.889516654566176
-25.0,103.33025,0.21493498141153058,292.81968909804107,1.5699246285186614,0.95125,0.003404902256306338,51.999219052976244,0.7878600006988185,452.13849059400803,4.913918965646911
-15.0,103.67575,0.20592602551492853,329.661607709528,1.5865489914861388,0.96075,0.003070400523547376,82.43129458071756,1.1823547021416743,385.20268249170624,5.355305660173314
-5.0,102.57575,0.23619788416574564,333.21646480483196,2.2478175313205817,0.927,0.004113119254288647,201.92333173867686,2.5351929501830988,285.97788840606006,16.3795599633878
5.0,102.88675,0.22467082834532615,337.6035089094708,2.2726875330035585,0.93,0.004034228550788861,189.07950172897077,2.387202970264475,239.68214967306292,14.062723818049305
15.0,103.71675,0.2056644837092078,346.8456444228261,1.6024508227787497,0.96025,0.003089091189168748,72.63918030419015,0.978747439725391,280.6722305389186,4.168340463429618
25.0,103.71075,0.20160734388750576,332.91033319217723,1.4999613316738505,0.9575,0.0031895826529500684,42.48926181909777,0.7072571871570381,306.8459376374622,3.662144808826359
35.0,102.96275,0.21959443437704654,304.32147365891547,1.6235642832542068,0.9345,0.003911833010239573,32.86119355474488,0.6269929958830196,306.7344504778727,4.521668090842198
45.0,100.5205,0.2696182856141252,205.10480815021683,1.6092568343116833,0.8675,0.005360591152102536,30.725592091219816,0.6608096802350457,340.2552990660569,6.323685444512389
55.0,95.9765,0.33644722756696926,142.4954307607348,1.7400956332965904,0.7555,0.00679558220463854,35.951680937324085,1.0758484097179444,410.1556064549732,15.960773446436725
65.0,87.854,0.4208609283361904,83.98188199541197,1.7586446511348726,0.60075,0.007743536619336154,47.77281494549563,1.866807379326134,690.7854750373724,52.31079069981639
75.0,75.228,0.47415214224972135,31.16332596116396,1.584023815991796,0.39,0.00771200363070454,72.93761268943045,4.058464114534597,1999.9999999999995,573.2918283588657
85.0,59.792,0.45079935558960155,-4.466535216986287,1.202289318916442,0.19525,0.006267524182242938,110.9498693156487,8.23517906706793,1999.9999999999995,1353.3244469332237
95.0,47.79125,0.3590801350108009,-23.302892518981807,0.8555110056604343,0.0685,0.00399398766898447,147.13297589591133,15.425851362836347,,
105.0,40.56725,0.27153290658661433,-28.979602154994488,0.6647796320275295,0.02525,0.002480546184814949,108.79161120082297,19.36089009055517,,
