detuning,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed
-65.0,45.64356435643565,2.9089001071452545,44.16422,10.30366658561729,0.09900990099009901,0.029867530948511595
-45.0,63.18,3.0816295046680104,73.176384,12.872601318359376,0.29,0.04560480215720686
-25.0,78.6,2.8590102122831595,159.47736,13.941787719726562,0.56,0.049888765156985884
-15.0,80.82178217821782,3.0083512816133933,195.83423,14.019546550464206,0.6435643564356436,0.04789460048494188
-5.0,92.6078431372549,1.915875742514175,383.56195,16.02890777232286,0.8235294117647058,0.03793281185307811
5.0,79.16666666666667,2.9608879695303827,328.83923,23.71423912924534,0.5686274509803921,0.049280995972875316
15.0,90.35,2.5443292065122214,371.07858,15.025382995605469,0.85,0.03588702812826367
25.0,91.88,2.4294190185467732,358.43903,14.198112487792969,0.89,0.031446603773522014
45.0,88.20792079207921,2.7057810069846826,295.7885,15.531433411074834,0.8217821782178217,0.03826960017839146
65.0,78.87378640776699,3.31546743493825,283.14154,20.64629284496484,0.6699029126213593,0.0465614711001235
85.0,62.198019801980195,3.5286106373607007,164.89212,21.45357331140343,0.4158415841584158,0.04928664738476691
105.0,45.92079207920792,3.0930994154288194,95.65091,17.702858846045366,0.15841584158415842,0.0365130473556154
