photon_number,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,legacy_cooling_timescale,legacy_cooling_timescale_err
1.0,24.26375,0.14593421971688134,-0.9861744571415292,0.3118756599308241,0.00125,0.0005586674995021637,,,1977.1693010032523,1151.8222957517319
5.0,76.3015,0.5363501882515751,113.22237593984059,1.8558889374622427,0.48425,0.007901770964473724,63.96623911552991,1.6553866982287102,1084.8838927617983,44.2721579794337
9.0,93.75275,0.4178579655329967,212.14737792278916,1.9271618521937495,0.795,0.006383083110848549,63.48055986499497,1.4806638804295649,929.6482902930101,13.629108829355724
13.0,99.932,0.3053235480600866,253.5687708505937,1.739336021810314,0.89225,0.004902548763143514,64.10257858908237,1.4145550869643075,850.9032091791245,10.950704331331123
17.0,102.342,0.2462641041646143,273.20085727970724,1.609952778424159,0.937,0.003841581705495796,69.59030256396044,1.7037728341120861,718.5240247910651,8.00397034253711
21.0,102.96425,0.2312841714955328,283.50645696102606,1.5920133571192323,0.9505,0.0034296410161998,72.79995359505749,1.9178344640551521,708.7246814134652,10.101969957381192
25.0,103.55775,0.2070716451723292,288.99577598507716,1.5563823700935728,0.96025,0.003089091189168748,70.51825926583082,1.7081118057042357,702.4587486649183,8.17311007807204
29.0,104.11875,0.1859789292080557,293.7790530442806,1.4904247948244704,0.97075,0.00266432155998483,73.04753438787777,1.7816003444155242,677.5894491322359,9.87393979432561
33.0,104.24025,0.18708121895148913,296.0133864651288,1.4846434311706456,0.9755,0.0024443685278615402,70.17470315739402,1.6059264352326927,634.3587536482833,9.011528970537286
37.0,104.0365,0.1944448300611256,296.93369214572186,1.4576229420540376,0.97125,0.002642131596836163,68.0809512742391,1.2394139811677145,595.2331646296602,8.79359986481088
41.0,104.32025,0.18314897620345846,296.55889842115675,1.4486875674766506,0.97575,0.00243217687987531,71.03700324759821,1.6500674226049334,614.9245598216384,8.885896318785006
45.0,104.325,0.18379769789091485,295.0067607032115,1.4436880566271548,0.97725,0.002357564288625023,73.75764124637048,1.683587164139861,594.28644544008,7.599698497564413
49.0,104.55075,0.17175522149086184,294.845752042726,1.4315729765592837,0.9805,0.0021863068174435146,74.67916212517859,1.6110293332113454,571.6923159753542,6.996821095140368
53.0,103.71225,0.21673540893073984,289.91995112950417,1.4710460995640788,0.97075,0.00266432155998483,72.9951866985029,1.5629891209137123,549.0462251151909,8.675462436401363
57.0,104.396,0.18169492563084969,288.59738611513137,1.4652536670511016,0.979,0.00226710167394407,77.34270592896554,1.7006154322568283,570.062433931299,7.436160440490335
61.0,104.656,0.166399867788409,290.9950197994298,1.4081871809640774,0.982,0.002102141764962583,73.85702948366989,1.4859804787804416,512.3102471060104,6.443457154353086
65.0,104.45925,0.1783184226583866,286.9126865646571,1.4144163699090873,0.97975,0.0022271022372131904,77.3322739027208,1.560571308289676,502.48264053449367,5.731018548265668
69.0,104.2445,0.1917447650849952,283.4080855364822,1.4191795584661755,0.9785,0.0022933463541297008,76.50334280946781,1.3911701646210701,490.703062749771,6.201420031643462
73.0,104.70325,0.16480609017683479,277.9978094012945,1.4022358582537016,0.983,0.0020439545004720637,79.03233253435818,1.5283747184001009,497.9094436262662,5.144059836449805
77.0,104.316,0.18841818118217785,276.91217008685004,1.4182187925162761,0.9795,0.0022405217026398097,79.63708004369192,1.3882143147884347,474.1716906621294,5.550894659583771
81.0,104.25175,0.19084442088878312,272.8593546327493,1.4334495856818539,0.97775,0.002332109426034721,82.46625650850828,1.735867758348553,475.8841241770741,5.822713598984337
