detuning,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,legacy_cooling_timescale,legacy_cooling_timescale_err
-105.0,34.24125,0.24769842976768142,-5.032265700965427,0.6135990530063014,0.0045,0.0010582709955394224,328.8483825777933,256.1753373286138,,
-95.0,38.31,0.28937708962528463,1.1777940034094505,0.7444902690117912,0.00975,0.0015536197652578961,29.764851796653154,11.72545686245761,180.04653992538866,68.82336965129053
-85.0,46.49275,0.3714922433367553,14.278705769234174,1.025815785158596,0.03725,0.0029942627431473008,182.12745760447305,67.09464857099402,177.79970771103555,65.61308420300008
-75.0,60.50825,0.45794102566201145,43.73763087409177,1.4906170530785652,0.1545,0.005714668625563516,93.72427184756569,11.098314385024198,0.5172374346130858,0.0
-65.0,76.58925,0.49239771385474057,98.94098914235761,1.9857954527287667,0.4105,0.007778009867568953,94.15089186122161,5.979945083312509,1760.4892684288814,101.50666355908241
-55.0,91.854,0.40654172110621073,161.08174251906547,2.0207689951847607,0.695,0.0072796806248626045,82.46716175402379,3.6146589049121483,1310.19858236452,24.25695587221301
-45.0,99.12125,0.3121277977197401,199.6152223282677,1.8218192063405563,0.86025,0.005482242641018364,91.38068701317552,3.1898716597364127,1264.936898726461,26.6290183294214
-35.0,102.50325,0.22824739288626059,219.58110530562695,1.6942420747616045,0.92425,0.004183656818502205,113.76175888386831,3.6411059262865697,1150.6565191597667,26.415256316761603
-25.0,102.62075,0.2326531320643997,240.08728265557616,1.8063248808161905,0.93375,0.003932586219652407,137.9506661541404,3.9834280096878,1098.2944343444724,23.838451370796218
-15.0,102.75425,0.2295345055419228,274.8354638464724,2.069550971885641,0.938,0.003813004065038485,175.90219451841446,4.1083475571534125,1097.8945005021387,31.45365694709627
-5.0,101.8585,0.251857587611531,309.51902368467603,2.9243455678507115,0.9145,0.0044212484096689255,336.6718393558375,5.124612543717076,515.8524201971368,31.066552461594913
5.0,103.75225,0.2046719142539469,358.9606537841639,2.472761293949148,0.965,0.0029058131392090594,262.95571018114936,3.5619803250645443,428.46318968420036,14.439131177401872
15.0,104.21825,0.1895360235796219,329.6783676120379,1.5770362148086565,0.9765,0.0023951904934681064,106.44530314451883,1.8913970699274385,614.0252441184276,8.780670097443567
25.0,103.9265,0.20218160014576006,297.08652312566886,1.4900982238166136,0.971,0.002653252720718478,71.55620918823327,1.6920120891859265,603.9392072637696,8.44418015046171
35.0,102.85575,0.23857280960825145,267.49066225455596,1.603906724716211,0.94975,0.0034541618918342556,64.19688918796862,2.0390040221922487,669.7179857342937,11.352090932646098
45.0,100.3265,0.2941000670477653,238.8195449555206,1.8087720912395475,0.893,0.004887509590783428,60.71871531599102,2.337000521944043,760.2750134817223,12.496303698481627
55.0,92.924,0.4025359375260798,194.429409886893,2.115886297236416,0.732,0.007003142151920094,53.37677850598538,2.3412828588191332,861.1019006870298,15.383628125562726
65.0,77.145,0.4911391032589444,116.14899457541007,2.1224363107581063,0.4145,0.0077892514081906485,64.48055022078705,4.126199185171524,918.9560156015008,45.49604511730535
75.0,59.48025,0.4575523494468966,51.95109977858145,1.629593971637236,0.14625,0.005587059546398266,84.12628293747338,11.050027954990147,,
85.0,45.74825,0.35285296935745775,13.912775233838131,1.01085838042944,0.0265,0.0025395742753461653,182.05649165622384,54.21639459327024,510.962632614022,25.563368137534642
95.0,36.82975,0.2554213503886764,0.5831872621957618,0.6643801473668666,0.00075,0.00043285029167138147,,,480.96077480699404,46.47598359605515
105.0,33.27175,0.222824427485801,-5.794899456944774,0.5650034510924972,0.0005,0.000353464991194319,,,1999.999999999605,467.4221196776023
