time_us,energy_uk,energy_uk_std_err,episode_count
0.0,413.5155668930882,6.601816769208947,4000
27.30000000000001,410.3724122286432,6.641648596073476,4000
54.60000000000002,410.96938033205646,6.742298918291291,4000
81.90000000000003,414.7351592112854,6.905595130656672,4000
109.19999999999996,429.030850206264,7.18992444752015,4000
136.49999999999997,438.2779621100096,7.391032545534903,4000
163.79999999999998,426.2789934048878,7.516490034776186,4000
191.1,426.2686632751555,7.647744933455759,4000
218.4,443.4297648307989,7.780607397444394,4000
245.70000000000002,458.67052434851223,7.96379740854493,4000
273.0,466.482693138781,8.214721271056003,4000
300.30000000000007,460.95929545758355,8.289669689441725,3923
327.6,489.9578305296887,8.451074723080742,3880
354.9000000000001,548.9502265573198,8.701458231626432,3869
382.20000000000005,595.5536098066123,8.910912267117459,3838
409.5,619.3305994457511,9.14810079119643,3802
436.80000000000007,633.4425039907924,9.401240892584719,3790
464.1,647.8930122422626,9.598934014713464,3747
491.4,672.7021256387133,9.782350759701565,3683
518.7,702.9976697100956,10.137365719307049,3600
546.0000000000001,727.9402770940837,10.768095036633767,3396
573.3000000000001,782.2050432483509,11.106390943856946,3383
600.6000000000001,830.9276260760353,11.357597093452467,3357
627.9000000000001,808.9905318018737,12.404248303911604,2840
655.2000000000002,711.672314648607,15.093163141056783,1953
682.5000000000001,711.9745226095821,16.192321623561313,1770
709.8000000000001,709.4053194651705,16.50752353554419,1697
737.1000000000001,705.8512547691805,16.745993794324917,1641
764.4000000000001,714.5386146481147,17.05012710203684,1611
791.7000000000002,718.7761281654499,17.283167630757248,1567
818.9999999999999,747.1418845559189,17.42209774805351,1563
846.3,723.133210514505,18.021875727958527,1424
873.5999999999999,677.754473851492,18.698454706573376,1255
900.9000000000001,659.5903724432875,19.052755756262247,1198
928.1999999999998,668.5092314119246,19.576191412471584,1171
955.5,674.973785606674,20.08414551404733,1126
982.8,602.8761846245603,20.948244129771357,967
1010.0999999999999,591.6518173134386,21.34583791926421,912
1037.3999999999999,563.356331091213,21.085268145716455,853
1064.7,559.9422898402856,21.059572612494353,823
1092.0,575.3990084009162,21.115337021044475,804
1119.3,594.4236882122663,21.396452060514402,793
1146.6,612.0239989667506,22.128499014979877,772
1173.8999999999999,623.8397277847184,22.400626676296387,759
1201.2,634.0981485192447,22.74669246766354,738
1228.5,640.0149500695984,23.674293674596786,691
1255.8,653.3709473935049,24.295455531537595,668
1283.1,628.1252098572851,24.768821378281526,622
1310.4,630.4812550594963,25.432449916718525,594
1337.6999999999998,646.0367246276777,26.345998900150253,574
1365.0,624.7984250763594,26.834988418001668,541
1392.3,584.1951302857781,27.53227514919372,478
1419.6000000000001,579.1714435834161,28.00072220217473,459
1446.8999999999999,542.3664635532376,29.568349500250168,401
1474.2,555.2919854058839,30.37235899391814,388
1501.5,537.5077142280049,31.559500996749325,362
1528.8,527.9108291347717,31.727243098227277,350
1556.1,526.0151189069093,31.704195637992928,346
1583.4,528.8091898790312,32.09045596136138,339
1610.6999999999998,529.828079711493,32.17605025678315,335
1638.0,538.5276294431408,32.57505111015134,333
1665.3,547.509424930382,33.020051275768154,330
1692.6,564.1311150677775,33.46712835294152,329
1719.8999999999999,590.9839766273882,33.70019906136569,328
1747.2,618.0783025332189,34.307974544004615,323
1774.5,642.4323314966109,35.314657026115704,317
1801.8000000000002,655.0763608198538,36.80614079191721,308
1829.0999999999997,668.822145551811,38.164125375597024,302
1856.3999999999999,670.1811507144592,39.076928485383995,294
1883.6999999999998,657.5617257900932,39.702972713071524,279
1910.9999999999998,648.4560477060962,40.755019515562076,270
1938.3,615.2900024640295,41.54327952974427,254
1965.6000000000001,625.0335547424096,42.23666494567394,248
1992.9000000000003,609.9843550012889,42.84974447859543,239
2020.1999999999996,601.2930496052908,43.218783418712356,235
2047.4999999999998,600.0455904364387,43.77729504938262,234
2074.7999999999997,595.8077664293332,43.854729817828094,231
2102.1,574.021243973001,43.390292705554,220
2129.3999999999996,575.5705596884256,44.52280028361247,213
2156.7,552.3165644110807,44.19837013481282,206
2183.9999999999995,556.2591303740774,44.595929035148764,205
2211.2999999999997,558.070328080978,44.775712858894934,203
2238.5999999999995,537.9877996493484,44.661282440331284,196
2265.8999999999996,549.2039791987869,45.35576743299947,196
2293.2,518.2812647292953,45.795821028763406,183
2320.5,519.8727413174253,46.098309561342546,182
2347.7999999999997,509.4041321499368,46.32139221780744,180
2375.0999999999995,510.0516900628991,46.577359186648195,179
2402.3999999999996,522.7879848536854,47.09044152938194,178
2429.7,540.3716376098762,47.27137852584083,178
2456.9999999999995,541.2626966887993,46.72658769336713,176
2484.2999999999997,530.7057623220686,46.715377441569814,171
2511.6,542.8173121720159,47.76685497303883,171
2538.8999999999996,550.4071977821939,48.61656955109412,168
2566.2,559.0593052096963,49.28971584699248,166
2593.4999999999995,507.22426534859454,47.5378903003633,155
2620.7999999999997,517.4798426846102,49.09944394402937,151
2648.1,467.0146103706439,47.90041147624224,143
2675.4,474.2527672284848,49.46099641274985,143
2702.6999999999994,458.48026517255306,49.48103684639466,139
