phase,episode,file_id,replay_buffer_valid,total_reward,atom_survived,num_steps
pretraining,61,2025-04-10_2208_Feedback_Run_NN_0_rep00133.h5,1,318.87652587890625,1,100
pretraining,62,2025-04-10_2208_Feedback_Run_NN_0_rep00136.h5,1,219.682373046875,0,100
pretraining,63,2025-04-10_2208_Feedback_Run_NN_0_rep00138.h5,1,333.49786376953125,1,100
pretraining,64,2025-04-10_2208_Feedback_Run_NN_0_rep00139.h5,1,313.651123046875,1,100
pretraining,65,2025-04-10_2208_Feedback_Run_NN_0_rep00142.h5,1,320.5201416015625,1,100
pretraining,66,2025-04-10_2208_Feedback_Run_NN_0_rep00143.h5,1,341.5746765136719,1,100
pretraining,67,2025-04-10_2211_Feedback_Run_NN_0.h5,1,318.620849609375,1,100
pretraining,68,2025-04-10_2214_Feedback_Run_NN_0.h5,1,317.49072265625,1,100
pretraining,69,2025-04-10_2215_Feedback_Run_NN_0.h5,1,372.5679931640625,1,100
pretraining,70,2025-04-10_2217_Feedback_Run_NN_0.h5,1,378.81494140625,1,100
train,71,2025-04-10_2221_Feedback_Run_NN_0.h5,1,9.137373924255371,0,17
train,72,2025-04-10_2225_Feedback_Run_NN_0.h5,1,-1.575179100036621,0,26
train,73,2025-04-10_2226_Feedback_Run_NN_0.h5,1,7.995662689208984,0,16
train,74,2025-04-10_2227_Feedback_Run_NN_0.h5,1,21.123889923095703,0,30
train,75,2025-04-10_2228_Feedback_Run_NN_0.h5,1,-12.289596557617188,0,38
train,76,2025-04-10_2230_Feedback_Run_NN_0.h5,1,-20.836164474487305,0,41
train,77,2025-04-10_2232_Feedback_Run_NN_0.h5,1,7.602930068969727,0,26
train,78,2025-04-10_2233_Feedback_Run_NN_0.h5,1,8.848944664001465,0,20
train,79,2025-04-10_2237_Feedback_Run_NN_0.h5,1,29.44073486328125,0,78
train,80,2025-04-10_2239_Feedback_Run_NN_0.h5,1,3.340787410736084,0,29
train,81,2025-04-10_2240_Feedback_Run_NN_0.h5,1,217.93087768554688,1,100
train,82,2025-04-10_2246_Feedback_Run_NN_0.h5,1,7.851766586303711,0,16
train,83,2025-04-10_2248_Feedback_Run_NN_0.h5,1,7.803050994873047,0,16
train,84,2025-04-10_2249_Feedback_Run_NN_0.h5,1,7.958917617797852,0,16
train,85,2025-04-10_2251_Feedback_Run_NN_0.h5,1,7.940761089324951,0,20
train,86,2025-04-10_2255_Feedback_Run_NN_0.h5,1,7.9130859375,0,16
train,87,2025-04-10_2256_Feedback_Run_NN_0.h5,1,144.46617126464844,1,100
train,88,2025-04-10_2257_Feedback_Run_NN_0.h5,1,8.147026062011719,0,16
train,89,2025-04-10_2263_Feedback_Run_NN_0.h5,1,8.376693725585938,0,20
train,90,2025-04-10_2264_Feedback_Run_NN_0.h5,1,6.718793869018555,0,30
train,91,2025-04-10_2267_Feedback_Run_NN_0.h5,1,-15.114790916442871,0,35
train,92,2025-04-10_2271_Feedback_Run_NN_0.h5,1,3.6844632625579834,0,27
train,93,2025-04-10_2272_Feedback_Run_NN_0.h5,1,19.26198959350586,0,27
train,94,2025-04-10_2273_Feedback_Run_NN_0.h5,1,9.840472221374512,0,19
train,95,2025-04-10_2274_Feedback_Run_NN_0.h5,1,16.47366714477539,0,29
train,96,2025-04-10_2278_Feedback_Run_NN_0.h5,1,8.588676452636719,0,17
train,97,2025-04-10_2280_Feedback_Run_NN_0.h5,1,279.6981201171875,1,100
train,98,2025-04-10_2281_Feedback_Run_NN_0.h5,1,7.737342834472656,0,16
train,99,2025-04-10_2282_Feedback_Run_NN_0.h5,1,2.150562286376953,0,23
train,100,2025-04-10_2287_Feedback_Run_NN_0.h5,1,7.930319786071777,0,16
train,101,2025-04-10_2289_Feedback_Run_NN_0.h5,1,-0.36243271827697754,0,53
train,102,2025-04-10_2295_Feedback_Run_NN_0.h5,1,373.85662841796875,1,100
train,103,2025-04-10_2296_Feedback_Run_NN_0.h5,1,11.50851821899414,0,29
