Metric Group,Model,Survival,Cooling,Energy,Overall
Combined,Differentiator,0.89785520200607,0.4781175044662171,0.7456403085805139,0.6840535613086343
Combined,MLP (Expt.),0.9768326664972531,0.673709279133038,0.7901251786537815,0.8041360550703124
Combined,MLP (Sim.),0.9126812583762258,0.8686890040877625,0.9126574865508056,0.8977672512059555
Detuning,Differentiator,0.8137612413107003,0.37970283888127165,0.7572274910738155,0.6162010101375709
Detuning,MLP (Expt.),0.9790430764895485,0.758898062918988,0.79036026091483,0.8374073728414603
Detuning,MLP (Sim.),0.8463099402572576,0.8393053660837312,0.8707707839849465,0.8520225653145235
Photon Count,Differentiator,0.9906394195807722,0.6020401342021104,0.7342304344915106,0.7593776495669118
Photon Count,MLP (Expt.),0.9746272470027726,0.5980832142912053,0.7898901663148586,0.772186651366475
Photon Count,MLP (Sim.),0.9842577048522002,0.8991013477539305,0.9565590659178955,0.9459679475042636
