model_folder,model_label,overall_metric,fraction_trapped_score,fraction_trapped_peak_photon_number,fraction_trapped_peak_performance,fraction_trapped_left_50_photon_number,fraction_trapped_right_50_photon_number,fraction_trapped_range_width,fraction_trapped_range_fraction,fraction_trapped_performance_fraction,fraction_trapped_metric_score,cooling_timescale_score,cooling_timescale_peak_photon_number,cooling_timescale_peak_performance,cooling_timescale_left_50_photon_number,cooling_timescale_right_50_photon_number,cooling_timescale_range_width,cooling_timescale_range_fraction,cooling_timescale_performance_fraction,cooling_timescale_metric_score,20_step_energy_score,20_step_energy_peak_photon_number,20_step_energy_peak_performance,20_step_energy_left_50_photon_number,20_step_energy_right_50_photon_number,20_step_energy_range_width,20_step_energy_range_fraction,20_step_energy_performance_fraction,20_step_energy_metric_score
mlp_sim,MLP (Sim.),0.9459679475042636,0.9842577048522002,53.0,0.96125,4.363363363363364,81.0,76.63663663663664,0.9906832298136646,0.9778738555442523,0.9842577048522002,0.8991013477539305,73.0,170.26409268715753,39.91891891891892,81.0,41.08108108108108,0.8083832335329342,1.0,0.8991013477539305,0.9565590659178955,73.0,103.41467040923932,11.17017017017017,81.0,69.82982982982983,0.9150052465897167,1.0,0.9565590659178955
differentiator,Differentiator,0.7593776495669118,0.9906394195807722,73.0,0.983,5.084084084084084,81.0,75.91591591591592,0.9813664596273292,1.0,0.9906394195807722,0.6020401342021104,81.0,469.75583212873823,30.181181181181184,81.0,50.81881881881881,1.0,0.3624523231900952,0.6020401342021104,0.7342304344915106,61.0,183.3761555773072,8.047047047047048,81.0,72.95295295295296,0.9559286463798531,0.5639482956967219,0.7342304344915106
mlp_experimental,MLP (Expt.),0.772186651366475,0.9746272470027726,61.0,0.93375,3.6426426426426426,81.0,77.35735735735736,1.0,0.9498982706002035,0.9746272470027726,0.5980832142912053,81.0,271.4865722158778,52.01501501501502,81.0,28.984984984984983,0.5703592814371258,0.627154747645378,0.5980832142912053,0.7898901663148586,81.0,165.74816838090956,4.683683683683684,81.0,76.31631631631632,1.0,0.623926474840915,0.7898901663148586
