model_folder,model_label,overall_metric,fraction_trapped_score,fraction_trapped_peak_detuning,fraction_trapped_peak_performance,fraction_trapped_left_50_detuning,fraction_trapped_right_50_detuning,fraction_trapped_range_width,fraction_trapped_range_fraction,fraction_trapped_performance_fraction,fraction_trapped_metric_score,cooling_timescale_score,cooling_timescale_peak_detuning,cooling_timescale_peak_performance,cooling_timescale_left_50_detuning,cooling_timescale_right_50_detuning,cooling_timescale_range_width,cooling_timescale_range_fraction,cooling_timescale_performance_fraction,cooling_timescale_metric_score,20_step_energy_score,20_step_energy_peak_detuning,20_step_energy_peak_performance,20_step_energy_left_50_detuning,20_step_energy_right_50_detuning,20_step_energy_range_width,20_step_energy_range_fraction,20_step_energy_performance_fraction,20_step_energy_metric_score
mlp_sim,MLP (Sim.),0.8781610496325829,0.857687281385438,15.0,0.964,-65.27027027027026,67.7927927927928,133.06306306306305,0.7438307873090482,0.9889715311618363,0.857687281385438,0.9484198076507736,5.0,286.8933160155825,-20.905905905905904,47.54254254254255,68.44844844844846,0.8995001315443305,1.0,0.9484198076507736,0.8283760598615368,25.0,121.46142250419334,11.456456456456465,53.2882882882883,41.831831831831835,0.6862068965517244,1.0,0.8283760598615368
differentiator,Differentiator,0.7285478017523155,0.8212798472774464,15.0,0.97475,-60.22522522522522,60.43543543543544,120.66066066066065,0.6745005875440657,1.0,0.8212798472774464,0.6183876625151499,5.0,602.9928222132872,-12.037037037037031,49.12412412412414,61.16116116116117,0.8037358589844777,0.475782306931183,0.6183876625151499,0.7459758954643502,35.0,218.26734925350013,3.258258258258266,64.21921921921921,60.960960960960946,1.0,0.556480036613839,0.7459758954643502
mlp_experimental,MLP (Expt.),0.877923246945385,0.9759876722551096,15.0,0.9285,-93.64864864864865,85.24024024024024,178.88888888888889,1.0,0.9525519363939472,0.9759876722551096,0.8734952204065791,5.0,376.009973327548,-30.585585585585576,45.51051051051053,76.0960960960961,1.0,0.7629939000731383,0.8734952204065791,0.7842868481744666,25.0,184.5269448859085,7.882882882882882,64.84984984984985,56.966966966966964,0.9344827586206899,0.6582313633344546,0.7842868481744666
