model_folder,model_label,overall_combined_metric,overall_width_metric,overall_peak_metric,fraction_trapped_combined_score,fraction_trapped_width_score,fraction_trapped_peak_score,cooling_timescale_combined_score,cooling_timescale_width_score,cooling_timescale_peak_score,20_step_energy_combined_score,20_step_energy_width_score,20_step_energy_peak_score
mlp_sim,MLP (Sim.),0.8977672512059555,0.8111926771825221,0.9935815004362355,0.9126812583762258,0.8492347851180736,0.9808678282948529,0.8686890040877625,0.7546205858229886,1.0,0.9126574865508056,0.8329436877572339,1.0
differentiator,Differentiator,0.6840535613086343,0.7409039593838339,0.6315653585225467,0.89785520200607,0.8061439637693608,1.0,0.4781175044662171,0.5160127140667743,0.44300526294284637,0.7456403085805139,0.9777160356564952,0.5686512745050021
mlp_experimental,MLP (Expt.),0.8041360550703124,0.9038667188330928,0.7154094531756418,0.9768326664972531,1.0,0.9542020583361336,0.673709279133038,0.7552213459887941,0.6009949204967154,0.7901251786537815,0.977775002771065,0.638488196336967
