N,E_z,E_z_uK,Transmission
1.0,0.0,0.0,0.16575788642328682
1.0,2.3615314014599996e-28,17.10450231347721,0.1748707931203339
1.0,4.723062802919999e-28,34.20900462695442,0.18475118346201677
1.0,7.084594204379999e-28,51.31350694043162,0.1954236702396711
1.0,9.446125605839998e-28,68.41800925390883,0.20695979057065325
1.0,1.1807657007299999e-27,85.52251156738605,0.21941874804501502
1.0,1.4169188408759998e-27,102.62701388086325,0.23282325466951723
1.0,1.6530719810219996e-27,119.73151619434046,0.24716835744467236
1.0,1.8892251211679997e-27,136.83601850781767,0.26243308710110674
1.0,2.1253782613139998e-27,153.94052082129488,0.27859100970381667
1.0,2.3615314014599998e-27,171.0450231347721,0.29562351783298646
1.0,2.5976845416059995e-27,188.14952544824928,0.3135321446078082
1.0,2.8338376817519995e-27,205.2540277617265,0.3322874689863103
1.0,3.0699908218979996e-27,222.35853007520373,0.351682476591713
1.0,3.306143962043999e-27,239.46303238868092,0.37120334212486866
1.0,3.54229710219e-27,256.5675347021582,0.3907109953358168
1.0,3.7784502423359994e-27,273.67203701563534,0.4110310180181823
1.0,4.014603382481999e-27,290.77653932911255,0.43164086425175346
1.0,4.2507565226279995e-27,307.88104164258976,0.450969935839611
1.0,4.486909662773999e-27,324.985543956067,0.4710714480163576
1.0,4.7230628029199996e-27,342.0900462695442,0.4904370514766273
1.0,4.959215943065999e-27,359.19454858302134,0.5089503497186758
1.0,5.195369083211999e-27,376.29905089649856,0.527584409023927
1.0,5.4315222233579994e-27,393.4035532099758,0.5448835048139421
1.0,5.667675363503999e-27,410.508055523453,0.5617218232198193
1.0,5.903828503649999e-27,427.6125578369302,0.5784798633853085
1.0,6.139981643795999e-27,444.71706015040746,0.5929039315974121
1.0,6.376134783941999e-27,461.8215624638846,0.6080434785774791
1.0,6.612287924087999e-27,478.92606477736183,0.6225820200463607
1.0,6.848441064233998e-27,496.030567090839,0.635339023235163
1.0,7.08459420438e-27,513.1350694043164,0.6473420738144468
1.0,7.320747344525999e-27,530.2395717177935,0.6594004906888173
1.0,7.556900484671999e-27,547.3440740312707,0.6710046570741
1.0,7.793053624817998e-27,564.448576344748,0.6819593106456903
1.0,8.029206764963998e-27,581.5530786582251,0.6922818965134261
1.0,8.26535990511e-27,598.6575809717024,0.7020195231822381
1.0,8.501513045255999e-27,615.7620832851795,0.7112078605807014
1.0,8.737666185401999e-27,632.8665855986568,0.7198891383668267
1.0,8.973819325547998e-27,649.971087912134,0.7281367460412326
1.0,9.209972465693998e-27,667.0755902256111,0.7365448066584843
1.0,9.446125605839999e-27,684.1800925390884,0.7451423047352007
1.0,9.682278745985999e-27,701.2845948525655,0.7522026607192942
1.0,9.918431886131999e-27,718.3890971660427,0.758801436610725
1.0,1.0154585026277998e-26,735.49359947952,0.7666143261246523
1.0,1.0390738166423998e-26,752.5981017929971,0.7728728311583326
1.0,1.0626891306569998e-26,769.7026041064743,0.778994100602772
1.0,1.0863044446715999e-26,786.8071064199517,0.7856686571227247
1.0,1.1099197586861998e-26,803.9116087334288,0.7913468091317684
1.0,1.1335350727007998e-26,821.016111046906,0.7973374220429174
1.0,1.1571503867153998e-26,838.1206133603832,0.8035889462887443
1.0,1.1807657007299998e-26,855.2251156738604,0.8080594269689347
1.0,1.2043810147445999e-26,872.3296179873377,0.813828014431976
1.0,1.2279963287591998e-26,889.4341203008149,0.8193996393142383
1.0,1.2516116427737998e-26,906.5386226142921,0.8247160862401046
1.0,1.2752269567883998e-26,923.6431249277692,0.8292804350086159
1.0,1.298842270803e-26,940.7476272412466,0.8336597322146911
1.0,1.3224575848175997e-26,957.8521295547237,0.8382701032088526
1.0,1.3460728988321998e-26,974.9566318682009,0.8429508247501101
1.0,1.3696882128467997e-26,992.061134181678,0.8478632843265842
1.0,1.3933035268613998e-26,1009.1656364951552,0.8527865852150563
