file_id,condition,replay_buffer_valid,empty_cavity_mean,dt_ns
2025-04-13_0308_Feedback_Run_NN_01_rep00018.h5,with_feedback,1,29.950000762939453,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00019.h5,with_feedback,1,30.149999618530273,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00020.h5,with_feedback,0,34.02000045776367,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00021.h5,with_feedback,1,33.003334045410156,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00022.h5,with_feedback,0,33.790000915527344,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00023.h5,with_feedback,1,33.040000915527344,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00024.h5,with_feedback,1,34.003334045410156,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00025.h5,with_feedback,0,30.34000015258789,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00026.h5,with_feedback,0,30.969999313354492,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00027.h5,with_feedback,1,33.119998931884766,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00028.h5,with_feedback,0,33.13666534423828,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00029.h5,with_feedback,0,34.266666412353516,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00030.h5,with_feedback,0,33.099998474121094,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00031.h5,with_feedback,1,32.400001525878906,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00032.h5,with_feedback,1,28.549999237060547,27360.0
2025-04-13_0308_Feedback_Run_NN_01_rep00033.h5,with_feedback,0,29.953332901000977,27360.0
2025-04-13_0308_Feedback_Run_NN_02.h5,with_feedback,0,30.176666259765625,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00001.h5,with_feedback,0,33.02000045776367,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00002.h5,with_feedback,0,32.98666763305664,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00003.h5,with_feedback,0,34.57666778564453,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00004.h5,with_feedback,0,30.3700008392334,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00005.h5,with_feedback,1,31.799999237060547,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00006.h5,with_feedback,1,33.04999923706055,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00007.h5,with_feedback,0,33.336666107177734,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00008.h5,with_feedback,1,32.9033317565918,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00009.h5,with_feedback,0,35.026668548583984,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00010.h5,with_feedback,1,31.149999618530273,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00011.h5,with_feedback,1,31.69333267211914,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00012.h5,with_feedback,0,30.453332901000977,27360.0
2025-04-13_0308_Feedback_Run_NN_02_rep00013.h5,with_feedback,1,35.223331451416016,27360.0
