E_y,E_z,E_y_uK,E_z_uK,Transmission
0.0,0.0,0.0,0.0,0.1984393517995577
0.0,4.2936934571999995e-28,0.0,31.099095115413107,0.21623853662598425
0.0,8.587386914399999e-28,0.0,62.198190230826214,0.2365857506350312
0.0,1.2881080371599998e-27,0.0,93.29728534623932,0.25966156409148794
0.0,1.7174773828799998e-27,0.0,124.39638046165243,0.2855116886801163
0.0,2.1468467285999996e-27,0.0,155.49547557706555,0.3138647696878837
0.0,2.5762160743199997e-27,0.0,186.59457069247864,0.3449452468250697
0.0,3.0055854200399998e-27,0.0,217.69366580789176,0.3781512026786581
0.0,3.4349547657599996e-27,0.0,248.79276092330485,0.41238895549527416
0.0,3.864324111479999e-27,0.0,279.89185603871795,0.44694146629576514
0.0,4.293693457199999e-27,0.0,310.9909511541311,0.481868108746916
0.0,4.7230628029199996e-27,0.0,342.0900462695442,0.5156415306637796
0.0,5.1524321486399994e-27,0.0,373.1891413849573,0.547504510761468
0.0,5.581801494359999e-27,0.0,404.2882365003704,0.5770930499466171
0.0,6.0111708400799996e-27,0.0,435.3873316157835,0.6052929071289704
0.0,6.4405401857999994e-27,0.0,466.4864267311966,0.6308843711170107
0.0,6.869909531519999e-27,0.0,497.5855218466097,0.6539696402750367
0.0,7.29927887724e-27,0.0,528.6846169620229,0.6747137449898722
0.0,7.728648222959999e-27,0.0,559.7837120774359,0.6943978626526007
0.0,8.158017568679999e-27,0.0,590.8828071928491,0.7121063999304205
0.0,8.587386914399998e-27,0.0,621.9819023082622,0.7280439170929108
0.0,9.016756260119999e-27,0.0,653.0809974236753,0.7425005091437074
0.0,9.446125605839999e-27,0.0,684.1800925390884,0.7572810481841556
0.0,9.875494951559998e-27,0.0,715.2791876545014,0.7691585530199081
0.0,1.0304864297279999e-26,0.0,746.3782827699146,0.7816658624652695
0.0,1.0734233642999999e-26,0.0,777.4773778853277,0.7930398342727436
0.0,1.1163602988719998e-26,0.0,808.5764730007407,0.8034792042421144
0.0,1.1592972334439999e-26,0.0,839.675568116154,0.8133520046176042
0.0,1.2022341680159999e-26,0.0,870.774663231567,0.822331183972803
0.0,1.2451711025879998e-26,0.0,901.8737583469801,0.8308915074052027
0.0,1.2881080371599999e-26,0.0,932.9728534623932,0.8397972480401167
0.0,1.3310449717319998e-26,0.0,964.0719485778063,0.848319277695083
0.0,1.3739819063039998e-26,0.0,995.1710436932194,0.8562753330760874
0.0,1.416918840876e-26,0.0,1026.2701388086327,0.8637251555284922
0.0,1.459855775448e-26,0.0,1057.3692339240458,0.8707086038028679
0.0,1.5027927100199997e-26,0.0,1088.4683290394587,0.87814347445922
0.0,1.5457296445919997e-26,0.0,1119.5674241548718,0.8845980047488653
0.0,1.5886665791639998e-26,0.0,1150.666519270285,0.8915017103668911
0.0,1.6316035137359998e-26,0.0,1181.7656143856982,0.898014815985844
0.0,1.674540448308e-26,0.0,1212.8647095011113,0.9041677909730879
0.0,1.7174773828799996e-26,0.0,1243.9638046165244,0.9110107327026955
0.0,1.7604143174519997e-26,0.0,1275.0628997319375,0.9164946428206859
0.0,1.8033512520239997e-26,0.0,1306.1619948473506,0.9226591665076572
0.0,1.8462881865959998e-26,0.0,1337.2610899627634,0.9285077082821299
0.0,1.8892251211679998e-26,0.0,1368.3601850781768,0.9349769602093068
