photon_number,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,avg_mean_ke_z,se_mean_ke_z
1.0,27.982,0.20634296450327547,38.28486310013633,1.1202013775591377,0.002,0.0007063993204979744,249.92882564727873,146.15928368123681,62.8505463980639,23.749452929933252
5.0,56.641,0.5215804393859109,29.877033525863567,1.066511809171856,0.212,0.0064625072533808425,70.31738225548982,4.718069091655084,65.49563002717913,2.049516737322928
9.0,72.07625,0.5414838261521528,62.873040407117834,1.5436365476707499,0.39625,0.00773362685775568,57.84291473073555,2.224482012206355,67.35714971844344,1.5129946010400437
13.0,79.05225,0.5166635800831861,93.29971998646849,1.7746696912976783,0.5035,0.007905500458541508,51.882104521530195,2.000066165577526,68.20480072765393,1.310994663675885
17.0,83.00175,0.4912428744871268,105.23724500015804,1.847805962812168,0.554,0.00785945290716854,49.92585231639736,1.7920536223976389,68.55886638834741,1.216015214517472
21.0,84.89475,0.4795791572924901,111.07752775654014,1.830573581334305,0.586,0.007787875191603934,53.594408602721394,2.0463354704969117,66.11592719425475,1.1636425348116233
25.0,86.81,0.4662661257264997,113.5217927164351,1.8538804098710675,0.614,0.0076974671158764945,54.03211400751135,1.9245017457972682,64.49815617328494,1.1068262383457435
29.0,87.64175,0.45273416784507775,110.31118421442389,1.8445515383650468,0.6185,0.0076804581569070475,61.140866099742524,2.2494888851639114,64.58884029565563,1.1134213310844896
33.0,87.96575,0.4468386389227939,106.93283039872007,1.8360614223702352,0.6175,0.007684298113686115,66.81026591142009,2.387271317161672,62.867398977115556,1.0883090885110676
37.0,87.44925,0.4483643675732662,97.47389171031017,1.7678488739653604,0.604,0.00773278733704736,73.04884219427713,2.68971258268547,61.70063321413843,1.1161653463955938
41.0,87.233,0.4531461439204796,89.44229342855763,1.6920199204726203,0.599,0.0077491773756960805,86.94289624676712,3.117763063636207,59.9276430470414,1.0679118150986722
45.0,88.229,0.4392256137226061,85.14453883606332,1.6453344480841527,0.6075,0.00772081197154807,92.0089225998939,3.2741452670308675,59.431273007269226,1.075618342188419
49.0,88.41175,0.43804015567568116,80.7397576958733,1.582417136592292,0.60675,0.0077234130651545494,96.83187796778327,3.3650420732997266,57.40312053747934,1.0484188789918971
53.0,87.97575,0.4425672722698494,71.26640401558895,1.4923186102315953,0.602,0.0077394444245049016,110.39940078228412,3.6688087184893368,58.059271740807894,1.074836663482302
57.0,88.72375,0.4325249807633948,69.24258936923955,1.4612137848489855,0.6075,0.00772081197154807,117.60294951769009,3.7549930984222373,58.05841835616715,1.0429677769990762
61.0,87.19225,0.4431603236802399,63.16251726034049,1.4454774347889732,0.574,0.007818631593827657,130.04001677544926,4.084408014318261,55.39813640360935,1.0513989268379709
65.0,87.55075,0.44244474921663945,60.71914067886374,1.3831132539936264,0.581,0.007801265922912769,139.32535480042387,4.3440230648823,55.12310710324257,1.0418327788328003
69.0,86.95225,0.4394529183932848,57.33993647551416,1.3768173851261938,0.56475,0.007839123635649587,151.14358448775513,4.637855937191617,56.919724710169305,1.1021862689932969
73.0,87.178,0.4425890633533549,54.826586424081135,1.3289425191515978,0.56975,0.007828392834739453,150.52620749889542,4.2720439446076455,53.45788024755876,1.0167130824297437
77.0,87.21625,0.43955175632043036,49.720210552696514,1.2991460071682697,0.5725,0.007822144047510247,165.40309039825075,4.551633777594931,54.06379970658198,1.065528070982259
81.0,85.64125,0.4524850960080067,45.530468490014826,1.2261259597675216,0.5535,0.007860307722983878,162.95216324448472,4.523388500779193,52.01616953790479,1.058177697798807
