photon_number,avg_trapped_steps,se_trapped_steps,avg_reward,se_reward,fraction_completed,se_fraction_completed,avg_final_temp,se_final_temp,cooling_timescale,cooling_timescale_err
1.0,33.8405,0.2446428824582886,63.699790640667686,1.5294749873648843,0.0055,0.0011693748329770057,173.09694913661258,62.24197999038254,1999.9999999999995,1147.769953297794
5.0,84.67475,0.4754960468914279,92.57489900562184,1.3797258206907632,0.56625,0.007835989687014653,67.299521176408,1.5606518342602111,391.17822427183415,24.34511919005119
9.0,98.4765,0.3242300293580161,215.72346619425082,1.6901414319169898,0.8385,0.00581845662525725,48.30625465365426,0.8299293341027919,365.835567184044,7.938978135462724
13.0,101.4535,0.2628663337848725,281.0014941506631,1.6562550312053104,0.909,0.004547499312809183,41.64987984096861,0.6562102897671023,381.87396274566476,6.445475467948277
17.0,102.429,0.23530430244685285,305.8344127967464,1.5874369093652752,0.92875,0.0040673528707256285,40.218710855614084,0.6388976123080836,371.27964510834744,5.630951473707599
21.0,102.4765,0.23988796747127608,317.2045565863649,1.5944373960299318,0.93075,0.004014176051819353,40.0277234829605,0.6842841893602707,345.34980223202984,5.441872394619928
25.0,102.99175,0.2251295082488633,324.95386383108877,1.546508247510095,0.94125,0.003718145959345866,41.980656660711034,0.754142357114424,324.3269572132641,4.297593873669823
29.0,103.454,0.21144939347276456,331.80440324709303,1.535797937790722,0.95325,0.0033378300398612254,42.507096680922295,0.7377006315707918,321.290632164389,3.992417086013657
33.0,103.3945,0.2092294612082629,332.15733464045286,1.5471122789833753,0.949,0.003478469491026191,41.935881652231,0.680529520444272,301.7442090658939,3.5373616571800284
37.0,103.40725,0.21702614902212825,328.1634804080745,1.5421772430921796,0.9505,0.0034296410161998,45.2654897245733,0.7514774411958681,281.0777027108536,4.951380231441371
41.0,103.7255,0.19727116473904643,325.49187623696963,1.5014020038262443,0.9535,0.0033293298875299213,46.764378992519546,0.8339214407247074,264.90652664176866,4.313332498572607
45.0,103.8925,0.1885463760921965,323.51692862664663,1.5128900996918093,0.95675,0.003216342546278304,47.86236389558806,0.7632871581628228,262.67039662436673,4.089902572505879
49.0,103.99675,0.1866810377606012,316.8592258237458,1.5637626237961555,0.95925,0.0031260773143030212,49.50799205998776,0.8809982135491379,258.4400815763591,4.258497258174757
53.0,104.0485,0.1839396285129988,309.0582964819785,1.5446845318598366,0.96125,0.003051574900768452,52.5484533191842,0.9468432900449053,247.28243965140933,4.944338289098318
57.0,103.9255,0.18985879604985387,295.1676398768722,1.5737249914353686,0.9595,0.0031168794490643997,57.282447687357504,1.1298055599183991,235.08493630561094,6.214713006580311
61.0,103.72825,0.19769351401696264,281.9387002964455,1.620874187838548,0.9495,0.003462287899640929,60.2476037021467,1.2498940281191588,226.9627123806438,6.839885355827561
65.0,103.88575,0.1899738119699002,272.24785635722066,1.536691283826958,0.953,0.003346303931205295,61.80957784221342,1.2329791855983603,217.36357333528034,6.569227351190719
69.0,103.52025,0.2049418148752836,262.60421634580234,1.5902112182835135,0.94225,0.003688324060464318,65.01200335844153,1.2567740753225112,216.17621249720418,8.389375367944734
73.0,103.4615,0.20452354250183524,259.3616453730846,1.6095839776302756,0.94125,0.003718145959345866,68.11452724197363,1.3039476589060872,194.3119974935569,8.922090949149634
77.0,103.21475,0.21814280439513697,250.1905107965577,1.6089716454022962,0.94125,0.003718145959345866,74.97140560346924,1.4819931846724987,203.71158686969818,9.314586561378835
81.0,103.30575,0.20907759739956602,244.2757099350273,1.6423726199092497,0.93625,0.0038628337234470752,77.5545848252528,1.5723644963704306,194.0888277613612,9.964560187154413
