time_us,energy_uk,energy_uk_std_err,episode_count
0.0,390.97354332368565,6.13543106319798,4000
27.30000000000001,384.04628065301716,6.151904178948035,4000
54.60000000000002,375.9581323712541,6.170435372834454,4000
81.90000000000003,362.85866803292964,6.184141244109771,4000
109.19999999999996,353.22390028279744,6.295901517281067,4000
136.49999999999997,346.71732135840347,6.33947799090575,4000
163.79999999999998,328.0319256947462,6.268597972630643,4000
191.1,322.7942813127783,6.275926148685851,4000
218.4,322.7171540858433,6.340843028673248,4000
245.70000000000002,313.29429510740687,6.39383534937316,4000
273.0,293.83408903108244,6.453542740727687,4000
300.30000000000007,265.4574308153051,5.860918792260025,3958
327.6,279.7391672797271,5.872870265904677,3946
354.9000000000001,303.3113416013593,6.1128564023496645,3946
382.20000000000005,301.73054703239313,6.106351558030063,3932
409.5,285.98224098578345,5.934244508607797,3916
436.80000000000007,280.5696791501394,5.8645080680035475,3915
464.1,284.1968444974136,5.767284898898565,3899
491.4,291.61074563488546,5.927485095066784,3893
518.7,291.8360289965177,6.280249990019724,3882
546.0000000000001,297.2260811822089,6.5930771963882515,3862
573.3000000000001,320.86403511375926,7.0294460203043005,3862
600.6000000000001,335.40924157622993,7.358706690546117,3862
627.9000000000001,319.7305841909095,7.3570125700922056,3792
655.2000000000002,298.388360528391,7.205042648386803,3687
682.5000000000001,305.69502479590307,7.26946959530244,3647
709.8000000000001,309.5206268718595,7.238295852106006,3626
737.1000000000001,304.48923701418556,7.216496406638411,3602
764.4000000000001,306.4485266990942,7.246448540625413,3592
791.7000000000002,312.87140525361593,7.26237921182393,3572
818.9999999999999,325.9265031693876,7.475757759769328,3571
846.3,317.95605549178623,7.487857157622956,3499
873.5999999999999,294.43406042480507,7.3009235590099015,3383
900.9000000000001,298.4402374320396,7.56712862075602,3359
928.1999999999998,302.11231931652827,7.771187290038906,3344
955.5,294.8403663359381,7.805215677645668,3281
982.8,264.44062866304586,7.468140904364236,3140
1010.0999999999999,269.02151960925676,7.523916252583201,3104
1037.3999999999999,278.48100696534595,7.538716680097655,3071
1064.7,286.241157133001,7.575761873755449,3046
1092.0,285.3004453497862,7.581799018190254,2991
1119.3,289.32816981658686,7.691724425211136,2961
1146.6,291.45866331591026,7.795289341241491,2926
1173.8999999999999,295.6041279707345,7.901333489427239,2907
1201.2,300.05140336007184,8.034905412553828,2886
1228.5,289.7173636104674,7.988868598594663,2811
1255.8,286.44783023823317,7.962701801097062,2763
1283.1,267.18556191953513,7.630435189691715,2693
1310.4,261.0380309788352,7.560714216013558,2646
1337.6999999999998,257.3047993396438,7.626580537631353,2596
1365.0,257.60685373239295,7.700104910303132,2556
1392.3,252.40071257765317,7.6895531144525275,2501
1419.6000000000001,254.42378582838367,7.820107994738754,2467
1446.8999999999999,244.5842489795239,7.716755360396786,2407
1474.2,245.77838984548808,7.888361562714261,2395
1501.5,236.37209125328664,7.8284823108573836,2347
1528.8,231.22748895819333,7.734167854932734,2326
1556.1,234.49616205187172,7.843105608232332,2316
1583.4,237.07337950926382,7.97798267311219,2304
1610.6999999999998,241.94865436300572,8.154347037484545,2299
1638.0,249.23567069926895,8.321074790995617,2296
1665.3,261.0952498723332,8.533031146567904,2295
1692.6,273.6821311726475,8.808209958003488,2290
1719.8999999999999,283.6763688978643,9.050076985623074,2278
1747.2,280.2958696836983,9.164682460901664,2242
1774.5,279.4023135972745,9.25344187699293,2220
1801.8000000000002,268.7200526451497,9.187027845555775,2175
1829.0999999999997,264.25948554100773,9.20893866245072,2146
1856.3999999999999,256.41034133432436,9.235372558957259,2113
1883.6999999999998,227.9745830091207,8.535850989088758,2048
1910.9999999999998,222.7309972914719,8.449350317010973,2025
1938.3,206.8105307753858,8.063886096293173,1968
1965.6000000000001,205.54208465426396,8.088277315697102,1958
1992.9000000000003,202.9748595744705,8.10928517696393,1939
2020.1999999999996,205.66319253024753,8.296712969736511,1935
2047.4999999999998,208.57066782783355,8.480317051444969,1928
2074.7999999999997,212.35324588480955,8.622394342200524,1920
2102.1,210.93293339475397,8.61931953938651,1904
2129.3999999999996,212.3057366000825,8.698349742724734,1890
2156.7,214.0518988296137,8.857940264646507,1879
2183.9999999999995,213.39821808719367,8.928785000485272,1867
2211.2999999999997,211.62295795048036,8.951168491257752,1849
2238.5999999999995,199.11420996054346,8.645425288761617,1813
2265.8999999999996,197.23102809373526,8.58221082042969,1800
2293.2,187.46025227985726,8.302403767069844,1771
2320.5,185.16241201055075,8.30342312403246,1757
2347.7999999999997,181.2340851401482,8.221974974471113,1740
2375.0999999999995,184.52166447169674,8.374910622710674,1735
2402.3999999999996,187.60176906277172,8.515361233985109,1727
2429.7,192.70338253902085,8.734519725251982,1723
2456.9999999999995,196.20969542964244,8.819332459993324,1715
2484.2999999999997,193.69955541005248,8.753317475692745,1701
2511.6,197.4055011850825,8.817900082448745,1695
2538.8999999999996,192.1126673850517,8.67961590094145,1669
2566.2,197.91446057035938,8.87995781703066,1664
2593.4999999999995,178.78727509111843,8.212489172095914,1622
2620.7999999999997,179.19865441760456,8.326051998599931,1614
2648.1,166.86896948201036,8.057531717220433,1580
2675.4,166.77541485971474,8.150144974167812,1572
2702.6999999999994,166.83737451916264,8.272856773400104,1562
